Plugin,status,Plugin Name,Family,Severity,remark,IP Address,Exploit?,Repository,MAC Address,Plugin Output,Synopsis,Description,See Also,Risk Factor,STIG Severity,CVSS V2 Base Score,CVSS V3 Base Score,CVSS V2 Temporal Score,CVSS V3 Temporal Score,CVSS V2 Vector,CVSS V3 Vector,CPE,CVE,BID,Cross References,First Discovered,Last Observed,Vuln Publication Date,Patch Publication Date,Plugin Publication Date,Plugin Modification Date,Exploit Ease,Exploit Frameworks,Check Type,Version,Recast Risk Comment,Accept Risk Comment,Agent ID,Host ID
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 22/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 123/udp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 514/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 4118/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 6446/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 6447/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 6448/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 6449/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 8081/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
14272,,Netstat Portscanner (SSH),Port scanners,Info,,10.26.82.25,No,Individual Scan,00:21:f6:6d:98:59,Plugin Output: Port 8180/tcp was found to be open,Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.",https://en.wikipedia.org/wiki/Netstat,None,,,,,,,,,,,,"Oct 27, 2023 12:31:10 +08","Oct 31, 2023 22:36:24 +08",N/A,N/A,"Aug 15, 2004 12:00:00 +08","May 17, 2023 12:00:00 +08",,,remote,1.101,,,,
